feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
external_eef_organisation_type_surveillance_security,0.0,0.0,1.3323860191541508e-07,0.0,3.330965047885377e-08
project_prf_application_type_catalogue_register of things or events; logistic or supply planning_control,0.0,0.0,1.3323860191541506e-07,0.0,3.3309650478853764e-08
project_prf_application_type_electronic data interchange,0.0,0.0,1.3323860191541506e-07,0.0,3.3309650478853764e-08
tech_tf_development_platform_mr,0.0,0.0,1.1734260599163075e-07,0.0,2.9335651497907688e-08
project_prf_development_type_re_development,0.0,0.0,1.1592021164672505e-07,0.0,2.8980052911681263e-08
project_prf_cost_currency_canada__dollar,0.0,0.0,9.205617941115465e-08,0.0,2.3014044852788663e-08
project_prf_application_type_data warehouse system; financial transaction process_accounting; management or performance reporting,0.0,0.0,8.800695449372307e-08,0.0,2.2001738623430768e-08
process_pmf_development_methodologies_agile_development__scrum,0.0,0.0,8.800695449372304e-08,0.0,2.200173862343076e-08
external_eef_organisation_type_education institution,0.0,0.0,7.994316114924902e-08,0.0,1.9985790287312256e-08
Tech_TF_DBMS_Used_Yes,6.347974672516734e-08,0.0,0.0,0.0,1.5869936681291835e-08
Tech_TF_Language_Type_4GL,4.084433084731423e-08,0.0,0.0,0.0,1.0211082711828558e-08
External_EEF_Data_Quality_Rating_B,3.9785839121143454e-08,0.0,0.0,0.0,9.946459780285864e-09
external_eef_organisation_type_community services,0.0,0.0,3.597705049747599e-08,0.0,8.994262624368998e-09
project_prf_application_type_customer billing_relationship management,0.0,0.0,3.1479919185291487e-08,0.0,7.869979796322872e-09
project_prf_application_type_airport management,0.0,0.0,2.498223785914033e-08,0.0,6.245559464785083e-09
external_eef_organisation_type_food processing,0.0,0.0,2.498223785914033e-08,0.0,6.245559464785083e-09
tech_tf_primary_programming_language_javascript,0.0,0.0,2.24856565609225e-08,0.0,5.621414140230625e-09
Tech_TF_Architecture_Multi_tier_with_web_public_interface,0.0,2.242659154210049e-08,0.0,0.0,5.606647885525122e-09
project_prf_application_type_content management system; dynamic website,0.0,0.0,2.0568462797537683e-08,0.0,5.142115699384421e-09
project_prf_application_type_complex process control; workflow support_management,0.0,0.0,1.7988525248737995e-08,0.0,4.497131312184499e-09
external_eef_organisation_type_biotech,0.0,0.0,1.6431720660693512e-08,0.0,4.107930165173378e-09
project_prf_application_type_analysis management,0.0,0.0,1.5774451834265773e-08,0.0,3.943612958566443e-09
Project_PRF_Relative_Size_XS,0.0,1.548886897871668e-08,0.0,0.0,3.87221724467917e-09
tech_tf_primary_programming_language_c__,0.0,0.0,9.992895143656133e-09,0.0,2.4982237859140332e-09
"external_eef_organisation_type_financial, property_business services",0.0,0.0,8.994262624368998e-09,0.0,2.2485656560922494e-09
external_eef_industry_sector_financial,0.0,0.0,8.994262624368998e-09,0.0,2.2485656560922494e-09
Tech_TF_Development_Platform_Proprietary,0.0,6.0503394448112055e-09,0.0,0.0,1.5125848612028014e-09
"external_eef_organisation_type_education institution; electricity, gas, water; ieee",0.0,0.0,5.522043634610769e-09,0.0,1.3805109086526923e-09
process_pmf_development_methodologies_agile_development__personal_software_process_psp__unified_process,0.0,0.0,5.522043634610768e-09,0.0,1.380510908652692e-09
